net_id,E-E,E-N,N-E,N-N
rand_0.1_0_net.csv,908,1264,1479,5404
rand_0.1_1_net.csv,846,1297,1570,5342
rand_0.1_10_net.csv,644,1374,1897,5139
rand_0.1_100_net.csv,608,1405,1938,5105
rand_0.1_101_net.csv,605,1401,1948,5102
rand_0.1_102_net.csv,585,1433,1956,5082
rand_0.1_103_net.csv,600,1403,1956,5097
rand_0.1_104_net.csv,606,1424,1923,5103
rand_0.1_105_net.csv,619,1423,1898,5116
rand_0.1_106_net.csv,613,1412,1921,5110
rand_0.1_107_net.csv,605,1399,1950,5102
rand_0.1_108_net.csv,603,1404,1949,5100
rand_0.1_109_net.csv,609,1396,1945,5106
rand_0.1_11_net.csv,633,1378,1915,5128
rand_0.1_110_net.csv,608,1400,1943,5105
rand_0.1_111_net.csv,613,1390,1943,5110
rand_0.1_112_net.csv,613,1404,1929,5110
rand_0.1_113_net.csv,623,1408,1905,5120
rand_0.1_114_net.csv,619,1394,1927,5116
rand_0.1_115_net.csv,630,1397,1902,5127
rand_0.1_116_net.csv,623,1394,1919,5120
rand_0.1_117_net.csv,611,1382,1955,5108
rand_0.1_118_net.csv,601,1397,1960,5098
rand_0.1_119_net.csv,601,1408,1949,5098
rand_0.1_12_net.csv,621,1390,1927,5119
rand_0.1_120_net.csv,598,1416,1947,5095
rand_0.1_121_net.csv,599,1412,1949,5096
rand_0.1_122_net.csv,592,1419,1956,5089
rand_0.1_123_net.csv,602,1424,1931,5099
rand_0.1_124_net.csv,599,1418,1943,5096
rand_0.1_125_net.csv,587,1445,1940,5084
rand_0.1_126_net.csv,601,1426,1931,5098
rand_0.1_127_net.csv,604,1418,1933,5101
rand_0.1_128_net.csv,595,1413,1956,5092
rand_0.1_129_net.csv,595,1414,1955,5092
rand_0.1_13_net.csv,622,1383,1932,5120
rand_0.1_130_net.csv,579,1442,1959,5076
rand_0.1_131_net.csv,580,1442,1957,5077
rand_0.1_132_net.csv,581,1437,1960,5078
rand_0.1_133_net.csv,603,1405,1948,5100
rand_0.1_134_net.csv,599,1420,1941,5096
rand_0.1_135_net.csv,598,1421,1942,5095
rand_0.1_136_net.csv,601,1398,1959,5098
rand_0.1_137_net.csv,611,1417,1920,5108
rand_0.1_138_net.csv,617,1395,1930,5114
rand_0.1_139_net.csv,613,1384,1949,5110
rand_0.1_14_net.csv,633,1380,1913,5130
rand_0.1_140_net.csv,597,1426,1939,5094
rand_0.1_141_net.csv,594,1429,1942,5091
rand_0.1_142_net.csv,597,1409,1956,5094
rand_0.1_143_net.csv,595,1416,1953,5092
rand_0.1_144_net.csv,598,1406,1957,5095
rand_0.1_145_net.csv,600,1418,1941,5097
rand_0.1_146_net.csv,598,1408,1955,5095
rand_0.1_147_net.csv,586,1420,1967,5083
rand_0.1_148_net.csv,598,1413,1950,5095
rand_0.1_149_net.csv,598,1403,1960,5095
rand_0.1_15_net.csv,622,1384,1931,5119
rand_0.1_150_net.csv,588,1427,1956,5085
rand_0.1_151_net.csv,588,1413,1970,5085
rand_0.1_152_net.csv,579,1412,1989,5076
rand_0.1_153_net.csv,590,1412,1967,5087
rand_0.1_154_net.csv,584,1409,1982,5081
rand_0.1_155_net.csv,587,1420,1965,5084
rand_0.1_156_net.csv,597,1409,1956,5094
rand_0.1_157_net.csv,597,1410,1955,5094
rand_0.1_158_net.csv,594,1410,1961,5091
rand_0.1_159_net.csv,585,1441,1948,5082
rand_0.1_16_net.csv,634,1367,1924,5131
rand_0.1_160_net.csv,603,1398,1955,5100
rand_0.1_161_net.csv,599,1406,1955,5096
rand_0.1_162_net.csv,599,1403,1958,5096
rand_0.1_163_net.csv,607,1409,1936,5104
rand_0.1_164_net.csv,605,1396,1953,5102
rand_0.1_165_net.csv,611,1400,1937,5108
rand_0.1_166_net.csv,614,1382,1949,5111
rand_0.1_167_net.csv,607,1393,1952,5104
rand_0.1_168_net.csv,610,1402,1937,5107
rand_0.1_169_net.csv,611,1406,1931,5108
rand_0.1_17_net.csv,625,1366,1943,5122
rand_0.1_170_net.csv,621,1411,1906,5118
rand_0.1_171_net.csv,619,1385,1936,5116
rand_0.1_172_net.csv,606,1410,1937,5103
rand_0.1_173_net.csv,612,1402,1933,5109
rand_0.1_174_net.csv,610,1402,1937,5106
rand_0.1_175_net.csv,610,1415,1924,5106
rand_0.1_176_net.csv,614,1406,1925,5110
rand_0.1_177_net.csv,617,1419,1906,5113
rand_0.1_178_net.csv,612,1439,1896,5108
rand_0.1_179_net.csv,603,1430,1923,5099
rand_0.1_18_net.csv,629,1359,1942,5126
rand_0.1_180_net.csv,586,1459,1928,5082
rand_0.1_181_net.csv,595,1433,1936,5091
rand_0.1_182_net.csv,593,1443,1930,5089
rand_0.1_183_net.csv,600,1457,1902,5096
rand_0.1_184_net.csv,600,1447,1912,5096
rand_0.1_185_net.csv,601,1441,1916,5097
rand_0.1_186_net.csv,601,1433,1924,5097
rand_0.1_187_net.csv,615,1413,1916,5111
rand_0.1_188_net.csv,612,1417,1918,5108
rand_0.1_189_net.csv,623,1400,1913,5119
rand_0.1_19_net.csv,627,1374,1931,5124
rand_0.1_190_net.csv,619,1411,1910,5115
rand_0.1_191_net.csv,599,1436,1925,5095
rand_0.1_192_net.csv,611,1416,1921,5107
rand_0.1_193_net.csv,598,1449,1914,5094
rand_0.1_194_net.csv,598,1431,1932,5094
rand_0.1_195_net.csv,609,1432,1909,5105
rand_0.1_196_net.csv,617,1425,1900,5113
rand_0.1_197_net.csv,597,1427,1938,5093
rand_0.1_198_net.csv,593,1432,1941,5089
rand_0.1_199_net.csv,592,1471,1904,5088
rand_0.1_2_net.csv,793,1314,1659,5289
rand_0.1_20_net.csv,618,1380,1943,5115
rand_0.1_200_net.csv,591,1467,1910,5087
rand_0.1_201_net.csv,595,1439,1930,5091
rand_0.1_202_net.csv,596,1443,1924,5092
rand_0.1_203_net.csv,594,1434,1937,5090
rand_0.1_204_net.csv,594,1434,1937,5090
rand_0.1_205_net.csv,601,1438,1919,5097
rand_0.1_206_net.csv,587,1447,1938,5083
rand_0.1_207_net.csv,612,1405,1930,5108
rand_0.1_208_net.csv,602,1425,1930,5098
rand_0.1_209_net.csv,600,1424,1935,5096
rand_0.1_21_net.csv,625,1373,1936,5122
rand_0.1_210_net.csv,591,1431,1946,5087
rand_0.1_211_net.csv,592,1453,1922,5088
rand_0.1_212_net.csv,590,1462,1917,5086
rand_0.1_213_net.csv,590,1458,1921,5086
rand_0.1_214_net.csv,591,1457,1920,5087
rand_0.1_215_net.csv,598,1451,1912,5094
rand_0.1_216_net.csv,600,1436,1923,5096
rand_0.1_217_net.csv,614,1400,1931,5110
rand_0.1_218_net.csv,616,1394,1933,5112
rand_0.1_219_net.csv,622,1406,1909,5118
rand_0.1_22_net.csv,625,1388,1921,5122
rand_0.1_220_net.csv,613,1404,1929,5109
rand_0.1_221_net.csv,618,1418,1905,5114
rand_0.1_222_net.csv,607,1420,1925,5103
rand_0.1_223_net.csv,618,1404,1919,5114
rand_0.1_224_net.csv,613,1415,1918,5109
rand_0.1_225_net.csv,594,1430,1941,5090
rand_0.1_226_net.csv,590,1434,1945,5086
rand_0.1_227_net.csv,582,1443,1952,5078
rand_0.1_228_net.csv,584,1440,1951,5080
rand_0.1_229_net.csv,593,1457,1916,5089
rand_0.1_23_net.csv,630,1381,1918,5127
rand_0.1_230_net.csv,596,1466,1901,5092
rand_0.1_231_net.csv,597,1473,1892,5093
rand_0.1_232_net.csv,606,1456,1891,5102
rand_0.1_233_net.csv,607,1440,1905,5103
rand_0.1_234_net.csv,617,1431,1894,5113
rand_0.1_235_net.csv,614,1434,1897,5110
rand_0.1_236_net.csv,617,1407,1918,5113
rand_0.1_237_net.csv,627,1407,1898,5123
rand_0.1_238_net.csv,621,1407,1910,5117
rand_0.1_239_net.csv,612,1414,1921,5108
rand_0.1_24_net.csv,623,1384,1929,5120
rand_0.1_240_net.csv,620,1422,1897,5116
rand_0.1_241_net.csv,617,1408,1917,5113
rand_0.1_242_net.csv,619,1404,1917,5115
rand_0.1_243_net.csv,614,1416,1915,5110
rand_0.1_244_net.csv,606,1413,1934,5102
rand_0.1_245_net.csv,603,1451,1902,5099
rand_0.1_246_net.csv,622,1436,1879,5118
rand_0.1_247_net.csv,623,1423,1890,5119
rand_0.1_248_net.csv,620,1421,1898,5116
rand_0.1_249_net.csv,608,1406,1937,5104
rand_0.1_25_net.csv,621,1398,1919,5118
rand_0.1_250_net.csv,603,1431,1922,5099
rand_0.1_251_net.csv,605,1442,1907,5101
rand_0.1_252_net.csv,601,1425,1932,5097
rand_0.1_253_net.csv,609,1415,1926,5105
rand_0.1_254_net.csv,622,1412,1903,5118
rand_0.1_255_net.csv,607,1436,1909,5103
rand_0.1_256_net.csv,599,1451,1910,5095
rand_0.1_257_net.csv,601,1451,1906,5097
rand_0.1_258_net.csv,598,1454,1909,5094
rand_0.1_259_net.csv,604,1427,1924,5100
rand_0.1_26_net.csv,602,1397,1958,5099
rand_0.1_260_net.csv,601,1436,1921,5097
rand_0.1_261_net.csv,594,1441,1930,5090
rand_0.1_262_net.csv,593,1432,1941,5089
rand_0.1_263_net.csv,587,1425,1960,5083
rand_0.1_264_net.csv,593,1411,1962,5089
rand_0.1_265_net.csv,591,1419,1958,5087
rand_0.1_266_net.csv,579,1437,1964,5075
rand_0.1_267_net.csv,579,1442,1959,5075
rand_0.1_268_net.csv,572,1458,1957,5068
rand_0.1_269_net.csv,588,1454,1929,5084
rand_0.1_27_net.csv,597,1391,1974,5094
rand_0.1_270_net.csv,582,1467,1928,5078
rand_0.1_271_net.csv,600,1432,1927,5096
rand_0.1_272_net.csv,584,1448,1943,5080
rand_0.1_273_net.csv,594,1456,1915,5090
rand_0.1_274_net.csv,601,1454,1903,5097
rand_0.1_275_net.csv,606,1435,1912,5102
rand_0.1_276_net.csv,615,1411,1918,5111
rand_0.1_277_net.csv,612,1431,1904,5108
rand_0.1_278_net.csv,605,1448,1901,5101
rand_0.1_279_net.csv,596,1457,1910,5092
rand_0.1_28_net.csv,597,1398,1967,5094
rand_0.1_280_net.csv,595,1442,1927,5091
rand_0.1_281_net.csv,589,1452,1929,5085
rand_0.1_282_net.csv,591,1439,1938,5087
rand_0.1_283_net.csv,595,1428,1941,5091
rand_0.1_284_net.csv,595,1422,1947,5091
rand_0.1_285_net.csv,588,1438,1945,5084
rand_0.1_286_net.csv,591,1440,1937,5087
rand_0.1_287_net.csv,592,1437,1938,5088
rand_0.1_288_net.csv,588,1431,1952,5084
rand_0.1_289_net.csv,606,1408,1939,5102
rand_0.1_29_net.csv,591,1402,1975,5088
rand_0.1_290_net.csv,596,1413,1954,5092
rand_0.1_291_net.csv,610,1422,1917,5106
rand_0.1_292_net.csv,615,1411,1918,5111
rand_0.1_293_net.csv,624,1391,1920,5120
rand_0.1_294_net.csv,623,1388,1925,5119
rand_0.1_295_net.csv,609,1399,1942,5105
rand_0.1_296_net.csv,599,1399,1962,5095
rand_0.1_297_net.csv,594,1402,1969,5090
rand_0.1_298_net.csv,583,1433,1960,5079
rand_0.1_299_net.csv,579,1429,1972,5075
rand_0.1_3_net.csv,747,1350,1715,5243
rand_0.1_30_net.csv,581,1403,1994,5078
rand_0.1_300_net.csv,590,1406,1973,5086
rand_0.1_301_net.csv,601,1405,1952,5097
rand_0.1_302_net.csv,592,1410,1965,5088
rand_0.1_303_net.csv,606,1418,1929,5102
rand_0.1_304_net.csv,609,1403,1938,5105
rand_0.1_305_net.csv,618,1378,1945,5114
rand_0.1_306_net.csv,622,1381,1934,5118
rand_0.1_307_net.csv,611,1392,1945,5107
rand_0.1_308_net.csv,602,1413,1942,5098
