gene,observed,random_nets,t-statistic,pvalue
spr1856,0.0011403188722072,0.000746616794,-41.388877615022714,7.131635971088434e-219
rnmV,0.0004889973208119367,5.2236751e-05,-976.5438605016772,0.0
SPD_1558,2.281972503020637e-05,0.000166714394,36.67231649996942,3.346255378368968e-187
fucU,4.510688118695353e-05,0.000251306818,66.79770631880847,0.0
SPD_1503,0.0,5.354360000000001e-05,212.93152481995142,0.0
cca,0.0004707279781374271,0.000133955747,-131.38455580610102,0.0
SPD_1374,0.0,0.00014026303699999997,36.07072290774809,4.132265734937319e-183
ppaC,0.0005773635154895422,0.000492904865,-11.552543307187621,4.58659160169525e-29
SPD_1384,0.0020774547350858,0.0020564069819999998,-3.050696813378472,0.002343363954683153
SPD_1435,0.0,1.2400634e-05,8.999783408870977,1.1166326538931251e-18
queF,0.0,0.0,,
SPD_1560,0.0002042546933041373,6.1103834e-05,-152.92871405059438,0.0
smc,0.0006243742076837143,0.00029175047,-48.19243099240048,7.167566678506086e-263
glyQ,0.00015014054808656831,4.269357e-05,-89.01713379581997,0.0
SP_1198,0.0048875785101721,0.0029771398099999995,-790.3347273939999,0.0
SPD_1382,0.0009784861848867136,9.0028526e-05,-409.7054795520391,0.0
SPD_1383,0.0,0.0,,
nadK,0.0023779350243239,0.000495163176,-176.82596134616966,0.0
engB,0.0007094878956924193,0.000829980754,9.35416511410541,5.3736424182124045e-20
SPD_1559,0.0026661801547471,0.000562438544,-281.26871905339186,0.0
SPD_0961,0.0013812644108111,0.0015719995019999999,8.397463344569232,1.5494630308891334e-16
spr0965,4.0823898337454725e-07,0.0020879378,155.6580711247076,0.0
SPD_1136,0.00023175356337806592,0.00037453395199999996,45.90942572022969,2.3294933026880915e-248
SPD_0805,0.0,0.000794710593,130.97802483104005,0.0
map,0.0013729081679503,0.000357761732,-183.30869404691268,0.0
pepF,0.0002344309565816904,0.00166160893,54.704707381587525,9.423422026280426e-303
SPD_0780,0.0,3.1676522e-05,58.92664445799321,0.0
coaE,0.0046207591591196,0.001057204911,-372.92508378727086,0.0
coaD,0.001399194304641,0.000306835139,-317.247315191158,0.0
coaA,0.0002644105762763568,0.00024089467399999998,-3.2019521201694907,0.0014081084873127578
pncB,0.0005832637578500581,0.000927679788,25.202069721593077,7.095455928891841e-109
SPD_1256,0.0,0.0,,
