iter,t-statistic,pvalue,pcutoff
0,2.825816656,0.004902,no
1,2.979335653,0.003027,no
2,3.98334433,7.80E-05,no
3,3.818163258,0.000151,no
4,4.529489509,7.00E-06,no
5,3.659273989,0.000279,no
6,3.870018429,0.000123,no
7,2.852646559,0.004512,no
8,4.006108742,7.10E-05,no
9,2.095552394,0.036616,no
10,2.682914753,0.007536,no
11,1.544547601,0.123078,yes
12,3.870353933,0.000123,no
13,2.45026416,0.014611,no
14,3.120825118,0.001906,no
15,3.622553599,0.000321,no
16,4.372133777,1.50E-05,no
17,3.072256992,0.002238,no
18,3.728783992,0.000214,no
19,2.174260205,0.030146,no
20,2.00348835,0.045656,no
21,3.123346675,0.00189,no
22,3.671297609,0.000267,no
23,2.556766858,0.010855,no
24,3.427607332,0.000658,no
25,3.086183364,0.002138,no
26,3.302625438,0.001025,no
27,4.924439703,1.00E-06,no
28,4.239931371,2.70E-05,no
29,3.738064482,0.000207,no
30,5.721037495,0,no
31,3.639444949,0.000301,no
32,3.24660244,0.001245,no
33,2.65811164,0.008106,no
34,3.732637214,0.000211,no
35,4.462837189,1.00E-05,no
36,1.512074734,0.131137,yes
37,1.62765748,0.104218,yes
38,3.625294974,0.000318,no
39,4.158930708,3.80E-05,no
40,1.955669683,0.051052,yes
41,2.437739054,0.015121,no
42,1.977890853,0.048481,no
43,4.668596839,4.00E-06,no
44,3.9101289,0.000105,no
45,4.491136295,9.00E-06,no
46,1.713071749,0.087309,yes
47,2.697609756,0.007216,no
48,3.865408708,0.000125,no
49,5.006328416,1.00E-06,no
50,4.907190371,1.00E-06,no
51,4.508810826,8.00E-06,no
52,2.066480994,0.039289,no
53,4.970775907,1.00E-06,no
54,4.097801913,4.90E-05,no
55,3.38857782,0.000757,no
56,1.528587908,0.126989,yes
57,4.127568176,4.30E-05,no
58,3.352704502,0.00086,no
59,3.555239823,0.000413,no
60,3.917233511,0.000102,no
61,3.716089291,0.000225,no
62,5.34310217,0,no
63,2.813708077,0.005087,no
64,3.746002065,0.0002,no
65,1.877783381,0.060983,yes
66,4.252571555,2.50E-05,no
67,3.184202513,0.001541,no
68,4.186879466,3.30E-05,no
69,4.350589316,1.60E-05,no
70,2.694409836,0.007285,no
71,0.344139991,0.730883,yes
72,3.134983139,0.001818,no
73,4.255613568,2.50E-05,no
74,3.974744623,8.10E-05,no
75,4.702519814,3.00E-06,no
76,1.521539964,0.128747,yes
77,2.127673341,0.033845,no
78,2.377110014,0.017818,no
79,3.723200139,0.000219,no
80,2.751413896,0.006146,no
81,2.678000621,0.007646,no
82,3.295517846,0.001051,no
83,5.387931423,0,no
84,2.088354192,0.037263,no
85,3.413105095,0.000694,no
86,3.198119393,0.00147,no
87,2.444125606,0.014859,no
88,2.293465483,0.022229,no
89,5.381635145,0,no
90,2.882297452,0.004115,no
91,3.501192314,0.000504,no
92,1.530904631,0.126415,yes
93,2.367879532,0.018264,no
94,3.333131357,0.000921,no
95,4.467840447,1.00E-05,no
96,4.246661239,2.60E-05,no
97,3.099108373,0.002049,no
98,4.474100449,9.00E-06,no
99,3.932340474,9.60E-05,no
100,2.989169315,0.002933,no
101,2.654081276,0.008202,no
102,2.648310287,0.008341,no
103,2.718090587,0.00679,no
104,2.52348102,0.011924,no
105,3.758009465,0.000191,no
106,2.980089705,0.00302,no
107,1.563766683,0.118495,yes
108,3.464651632,0.000576,no
109,3.203205986,0.001444,no
110,3.626267917,0.000317,no
111,3.307023342,0.00101,no
112,4.536320198,7.00E-06,no
113,5.105821481,0,no
114,3.552128758,0.000418,no
115,2.803085573,0.005255,no
116,2.3356598,0.019897,no
117,2.961800829,0.003202,no
118,2.469437012,0.01386,no
119,3.563772879,0.0004,no
120,5.338130486,0,no
121,4.885116773,1.00E-06,no
122,4.071530234,5.40E-05,no
123,4.649682041,4.00E-06,no
124,3.512831625,0.000483,no
125,3.193234475,0.001494,no
126,1.40605857,0.160318,yes
127,1.670136115,0.095508,yes
128,1.623049939,0.105199,yes
129,1.95906832,0.050651,yes
130,2.88763737,0.004047,no
131,3.282202149,0.001101,no
132,4.768022715,2.00E-06,no
133,3.013606603,0.002711,no
134,3.676420248,0.000262,no
135,1.804300922,0.071776,yes
136,3.663726595,0.000275,no
137,3.947805799,9.00E-05,no
138,3.122342333,0.001896,no
139,2.888880416,0.004031,no
140,4.440343658,1.10E-05,no
141,1.571217719,0.116755,yes
142,1.871712569,0.061821,yes
143,3.779078799,0.000176,no
144,3.006371631,0.002775,no
145,3.371766544,0.000804,no
146,4.065858789,5.50E-05,no
147,4.25711025,2.50E-05,no
148,3.499336395,0.000507,no
149,4.761162014,3.00E-06,no
150,3.699168771,0.00024,no
151,1.404979909,0.160638,yes
152,3.617686289,0.000327,no
153,1.278494942,0.201659,yes
154,4.695020817,3.00E-06,no
155,3.672176219,0.000266,no
156,4.583421885,6.00E-06,no
157,1.597586367,0.110757,yes
158,3.1789957,0.001568,no
159,3.228533695,0.001325,no
160,1.969112366,0.049483,no
161,5.019696764,1.00E-06,no
162,2.709387774,0.006968,no
163,4.919387679,1.00E-06,no
164,3.926224901,9.80E-05,no
165,3.635493804,0.000306,no
166,4.499556206,8.00E-06,no
167,3.743526235,0.000202,no
168,1.693313189,0.091009,yes
169,2.773581358,0.005748,no
170,1.535753338,0.125221,yes
171,3.929750525,9.70E-05,no
172,4.207732688,3.10E-05,no
173,3.218152002,0.001373,no
174,0.999540385,0.318009,yes
175,4.466084112,1.00E-05,no
176,3.5798137,0.000377,no
177,3.659004385,0.00028,no
178,4.032480502,6.40E-05,no
179,2.773005122,0.005758,no
180,4.129683625,4.20E-05,no
181,3.687690819,0.000251,no
182,1.481044736,0.139215,yes
183,4.077614002,5.30E-05,no
184,3.031734847,0.002556,no
185,4.308769285,2.00E-05,no
186,2.260329161,0.024223,no
187,4.349869418,1.60E-05,no
188,3.088462258,0.002122,no
189,2.681112673,0.007576,no
190,3.151442158,0.001721,no
191,3.822433443,0.000149,no
192,3.218031185,0.001373,no
193,4.045181405,6.00E-05,no
194,3.225710258,0.001338,no
195,4.612773401,5.00E-06,no
196,1.042542746,0.297656,yes
197,4.296605813,2.10E-05,no
198,5.024299622,1.00E-06,no
199,3.61153692,0.000335,no
200,4.377446661,1.50E-05,no
201,4.580307279,6.00E-06,no
202,1.931471775,0.053981,yes
203,3.798037365,0.000163,no
204,3.528537754,0.000456,no
205,4.157634696,3.80E-05,no
206,3.089969863,0.002111,no
207,2.295032093,0.022138,no
208,4.556102556,7.00E-06,no
209,3.755374679,0.000193,no
210,3.820965649,0.000149,no
211,3.705027864,0.000235,no
212,2.701167788,0.00714,no
213,1.979408393,0.048309,no
214,3.561893711,0.000403,no
215,1.370571953,0.171114,yes
216,3.723857013,0.000218,no
217,3.855974544,0.00013,no
218,3.415846784,0.000687,no
219,3.495110366,0.000515,no
220,4.504199327,8.00E-06,no
221,3.33777125,0.000906,no
222,4.972338268,1.00E-06,no
223,4.103757914,4.70E-05,no
224,0.912654632,0.361857,yes
225,3.575251484,0.000383,no
226,4.679038199,4.00E-06,no
227,3.534332246,0.000446,no
228,4.636978927,5.00E-06,no
229,2.252589842,0.024711,no
230,3.685150198,0.000253,no
231,3.686595206,0.000252,no
232,3.153653883,0.001708,no
233,4.398155396,1.30E-05,no
234,3.470938852,0.000563,no
235,3.333922338,0.000919,no
236,4.145676538,4.00E-05,no
237,3.488517111,0.000528,no
238,3.710445512,0.00023,no
239,1.806876698,0.071373,yes
240,4.079431156,5.20E-05,no
241,3.182806476,0.001548,no
242,1.208728575,0.227329,yes
243,1.830335065,0.067786,yes
244,3.413912737,0.000692,no
245,3.546375356,0.000427,no
246,4.023586961,6.60E-05,no
247,3.316830748,0.000976,no
248,3.127508263,0.001864,no
249,3.849219367,0.000134,no
250,4.176459672,3.50E-05,no
251,2.874427107,0.004217,no
252,4.036646141,6.30E-05,no
253,1.835440565,0.067025,yes
254,5.174632922,0,no
255,3.548437808,0.000423,no
256,4.163462377,3.70E-05,no
257,1.784482208,0.074942,yes
258,4.205158924,3.10E-05,no
259,2.784255105,0.005565,no
260,4.549205115,7.00E-06,no
261,4.746382372,3.00E-06,no
262,2.36503927,0.018403,no
263,4.447272119,1.10E-05,no
264,2.735828515,0.00644,no
265,3.966878972,8.30E-05,no
266,2.950979235,0.003314,no
267,3.377385369,0.000788,no
268,4.236079834,2.70E-05,no
269,4.227955954,2.80E-05,no
270,3.199865145,0.001461,no
271,1.543189139,0.123408,yes
272,4.404807758,1.30E-05,no
273,4.812855696,2.00E-06,no
274,3.3799951,0.000781,no
275,3.804265323,0.00016,no
276,4.475699361,9.00E-06,no
277,3.80567503,0.000159,no
278,4.23461008,2.70E-05,no
279,1.229583356,0.219422,yes
280,3.723216884,0.000219,no
281,4.27392321,2.30E-05,no
282,4.994899954,1.00E-06,no
283,2.864222382,0.004353,no
284,3.083133014,0.00216,no
285,3.217648304,0.001375,no
286,4.248530473,2.60E-05,no
287,1.293053025,0.19658,yes
288,3.145336012,0.001756,no
289,3.915848683,0.000102,no
290,3.738914776,0.000206,no
291,4.492834692,9.00E-06,no
292,1.908020922,0.056952,yes
293,4.218727559,2.90E-05,no
294,1.921811918,0.055188,yes
295,4.149849642,3.90E-05,no
296,3.4179729,0.000682,no
297,3.211072637,0.001406,no
298,3.963857468,8.40E-05,no
299,3.994278845,7.40E-05,no
300,2.840729311,0.004682,no
301,5.086772918,1.00E-06,no
302,3.761124843,0.000189,no
303,3.952263287,8.80E-05,no
304,4.255623557,2.50E-05,no
305,1.612687733,0.107433,yes
306,0.928233773,0.353727,yes
307,3.298807007,0.001039,no
308,1.827907959,0.06815,yes
309,1.808174287,0.071171,yes
310,3.441714981,0.000626,no
311,3.62493475,0.000318,no
312,4.10707586,4.70E-05,no
313,3.836499887,0.000141,no
314,1.116607264,0.26469,yes
315,4.944244988,1.00E-06,no
316,3.618715228,0.000326,no
317,3.268498188,0.001154,no
318,5.21666154,0,no
319,3.5996567,0.00035,no
320,3.655921043,0.000283,no
321,3.083356427,0.002158,no
322,4.414552558,1.20E-05,no
323,4.550116011,7.00E-06,no
324,3.397783065,0.000733,no
325,3.820721376,0.00015,no
326,3.463936389,0.000577,no
327,4.016438521,6.80E-05,no
328,4.173983716,3.50E-05,no
329,4.141205308,4.00E-05,no
330,3.361695023,0.000833,no
331,4.156086925,3.80E-05,no
332,1.399528707,0.162265,yes
333,3.7425923,0.000203,no
334,3.301069261,0.001031,no
335,3.104532896,0.002012,no
336,3.832312428,0.000143,no
337,3.360740218,0.000836,no
338,1.56261445,0.118766,yes
339,4.7977758,2.00E-06,no
340,2.705980453,0.007039,no
341,1.109021893,0.267945,yes
342,2.805499666,0.005217,no
343,3.951437988,8.90E-05,no
344,5.31357903,0,no
345,4.25686952,2.50E-05,no
346,3.391489681,0.000749,no
347,3.575323334,0.000383,no
348,4.398663447,1.30E-05,no
349,2.025656481,0.043322,no
350,4.620395077,5.00E-06,no
351,4.244539357,2.60E-05,no
352,3.244843897,0.001253,no
353,3.406992333,0.000709,no
354,4.044283761,6.10E-05,no
355,5.537450768,0,no
356,3.420594598,0.000675,no
357,4.352694344,1.60E-05,no
358,3.664425294,0.000274,no
359,3.079904274,0.002183,no
360,1.857131132,0.063871,yes
361,4.593563717,6.00E-06,no
362,4.300074,2.00E-05,no
363,2.175606785,0.030045,no
364,3.204436905,0.001438,no
365,1.550392365,0.12167,yes
366,3.193797334,0.001491,no
367,2.027009002,0.043183,no
368,2.099107811,0.0363,no
369,4.094748359,4.90E-05,no
370,2.609089468,0.009346,no
371,2.082101912,0.037833,no
372,3.083068482,0.00216,no
373,3.243530775,0.001258,no
374,2.880311257,0.004141,no
375,4.588886847,6.00E-06,no
376,3.425496303,0.000663,no
377,4.284562292,2.20E-05,no
378,4.169447522,3.60E-05,no
379,3.891867931,0.000113,no
380,0.777835327,0.437028,yes
381,2.999545486,0.002836,no
382,4.121997801,4.40E-05,no
383,4.63028414,5.00E-06,no
384,1.142792654,0.253663,yes
385,3.856124631,0.00013,no
386,2.97258082,0.003093,no
387,2.162096607,0.031077,no
388,4.367077396,1.50E-05,no
389,2.179400932,0.029761,no
390,1.791619774,0.073789,yes
391,3.005975595,0.002778,no
392,4.42424677,1.20E-05,no
393,4.643638107,4.00E-06,no
394,4.045888532,6.00E-05,no
395,4.390604294,1.40E-05,no
396,4.337959789,1.70E-05,no
397,4.101312301,4.80E-05,no
398,4.149389766,3.90E-05,no
399,3.121719609,0.0019,no
400,2.567817883,0.010519,no
401,3.711656447,0.000229,no
402,1.881531168,0.060471,yes
403,4.867758473,2.00E-06,no
404,2.273569923,0.023408,no
405,1.899628265,0.058048,yes
406,4.165053461,3.70E-05,no
407,2.27222666,0.02349,no
408,3.412710034,0.000695,no
409,4.061597042,5.60E-05,no
410,3.248827276,0.001236,no
411,3.864398637,0.000126,no
412,2.957234111,0.003249,no
413,4.173895175,3.50E-05,no
414,4.763413296,2.00E-06,no
415,4.390270305,1.40E-05,no
416,4.091138737,5.00E-05,no
417,3.827780415,0.000145,no
418,1.329969916,0.184125,yes
419,2.541188416,0.011344,no
420,1.521720955,0.128701,yes
421,2.942136824,0.003408,no
422,1.944124054,0.052432,yes
423,4.474995735,9.00E-06,no
424,3.331685449,0.000926,no
425,3.868019706,0.000124,no
426,1.927723082,0.054447,yes
427,1.537099636,0.124892,yes
428,4.382217892,1.40E-05,no
429,1.755023942,0.079858,yes
430,3.476596321,0.000551,no
431,5.31620327,0,no
432,4.577428352,6.00E-06,no
433,2.290638656,0.022393,no
434,3.75878113,0.000191,no
