from,to
spr2002,spr1999
spr2000,spr1999
GlpF,spr1990
spr1992,spr1990
GlpF,spr1989
spr1992,spr1989
spr1990,spr1989
SP_0090,SP_1798
SP_0092,SP_1798
SP_0091,SP_1798
SP_1796,SP_1798
SP_1797,SP_1798
SPD_1979,SPD_1978
spr1959,spr1955
spr1956,spr1955
SP_2153,arcA
SP_1203,arcA
SP_2152,arcA
SPD_1947,SPD_1946
SPD_1947,SPD_1949
SPD_1946,SPD_1949
arcA,argR
ribC,hexA
SPD_1900,SPD_1898
spr1168,cglD
spr1865,cglD
spr1859,cglD
SPD_1859,SPD_1857
spr1857,spr1856
SPD_1841,SPD_1843
SPD_1959,SPD_1960
SPD_1841,SPD_1847
SPD_1843,SPD_1847
SPD_1959,SPD_1847
SPD_1960,SPD_1847
SPD_1841,SPD_1844
SPD_1843,SPD_1844
SPD_1847,SPD_1844
SPD_1841,SPD_1845
SPD_1843,SPD_1845
SPD_1959,SPD_1845
SPD_1960,SPD_1845
SPD_1847,SPD_1845
SPD_1844,SPD_1845
SPD_1841,SPD_1846
SPD_1843,SPD_1846
SPD_1959,SPD_1846
SPD_1960,SPD_1846
SPD_1847,SPD_1846
SPD_1844,SPD_1846
SPD_1845,SPD_1846
SPD_1841,SPD_1840
SPD_1843,SPD_1840
SPD_1959,SPD_1840
SPD_1960,SPD_1840
SPD_1847,SPD_1840
SPD_1844,SPD_1840
SPD_1845,SPD_1840
SPD_1846,SPD_1840
SPD_1835,SPD_1836
SP_2008,rpmG-2
spr0488,spr1818
spr1925,spr1818
SPD_1801,SPD_1800
SPD_1784,SPD_1783
SPD_1789,SPD_1788
SPD_1789,rnmV
SPD_1788,rnmV
SPD_1843,araD
SPD_1847,araD
SPD_1844,araD
SPD_1845,araD
SPD_1846,araD
SPD_1840,araD
SPD_1767,SPD_1765
SPD_1786,SPD_1785
SPD_1784,SPD_1785
SPD_1783,SPD_1785
SPD_1951,SPD_1952
SPD_1786,SPD_1952
SPD_1875,SPD_1876
spr1743,spr1742
spr1740,spr1742
spr1741,spr1742
SPD_1727,SPD_1728
SP_1920,SP_1918
SP_1920,SP_1919
SP_1918,SP_1919
SPD_1713,SPD_1712
Phosphodiesterase,SPD_1653
SPD_1857,SPD_1802
SPD_1801,SPD_1802
SPD_1800,SPD_1802
SPD_1801,SPD_1803
SPD_1800,SPD_1803
SPD_1802,SPD_1803
ScrR,spr1620
spr0146,spr1620
spr0082,spr1619
msmG,spr1619
spr1532,spr1619
spr1525,spr1619
msmK,spr1619
sacA,spr1619
spr1620,spr1619
spr1533,spr1618
msmK,spr1618
msmF,spr1618
spr1526,spr1618
sacA,spr1618
spr1620,spr1618
spr1619,spr1618
SPD_1585,SPD_1586
SPD_1565,SPD_1566
spr1601,spr1600
SP_1864,SP_1774
SP_1775,SP_1774
spr1591,spr1595
CorA,spr1595
spr1594,spr1595
SPD_1562,SPD_1561
SPD_1555,SPD_1558
SPD_1555,SPD_1556
SPD_1558,SPD_1556
