from,to,source_essential,target_essential,edge_type
spr2002,spr1999,n,n,N-N
spr2000,spr1999,n,n,N-N
GlpF,spr1990,n,n,N-N
spr1992,spr1990,n,n,N-N
GlpF,spr1989,n,n,N-N
spr1992,spr1989,n,n,N-N
spr1990,spr1989,n,n,N-N
SP_0090,SP_1798,n,n,N-N
SP_0092,SP_1798,n,n,N-N
SP_0091,SP_1798,n,n,N-N
SP_1796,SP_1798,n,n,N-N
SP_1797,SP_1798,n,n,N-N
SPD_1979,SPD_1978,n,n,N-N
spr1959,spr1955,n,n,N-N
spr1956,spr1955,n,n,N-N
SP_2153,arcA,n,n,N-N
SP_1203,arcA,n,n,N-N
SP_2152,arcA,n,n,N-N
SPD_1947,SPD_1946,n,n,N-N
SPD_1947,SPD_1949,n,n,N-N
SPD_1946,SPD_1949,n,n,N-N
arcA,argR,n,n,N-N
ribC,hexA,n,n,N-N
SPD_1900,SPD_1898,n,n,N-N
spr1168,cglD,n,n,N-N
spr1865,cglD,n,n,N-N
spr1859,cglD,n,n,N-N
SPD_1859,SPD_1857,n,n,N-N
spr1857,spr1856,n,y,N-E
SPD_1841,SPD_1843,n,n,N-N
SPD_1959,SPD_1960,n,n,N-N
SPD_1841,SPD_1847,n,n,N-N
SPD_1843,SPD_1847,n,n,N-N
SPD_1959,SPD_1847,n,n,N-N
SPD_1960,SPD_1847,n,n,N-N
SPD_1841,SPD_1844,n,n,N-N
SPD_1843,SPD_1844,n,n,N-N
SPD_1847,SPD_1844,n,n,N-N
SPD_1841,SPD_1845,n,n,N-N
SPD_1843,SPD_1845,n,n,N-N
SPD_1959,SPD_1845,n,n,N-N
SPD_1960,SPD_1845,n,n,N-N
SPD_1847,SPD_1845,n,n,N-N
SPD_1844,SPD_1845,n,n,N-N
SPD_1841,SPD_1846,n,n,N-N
SPD_1843,SPD_1846,n,n,N-N
SPD_1959,SPD_1846,n,n,N-N
SPD_1960,SPD_1846,n,n,N-N
SPD_1847,SPD_1846,n,n,N-N
SPD_1844,SPD_1846,n,n,N-N
SPD_1845,SPD_1846,n,n,N-N
SPD_1841,SPD_1840,n,n,N-N
SPD_1843,SPD_1840,n,n,N-N
SPD_1959,SPD_1840,n,n,N-N
SPD_1960,SPD_1840,n,n,N-N
SPD_1847,SPD_1840,n,n,N-N
SPD_1844,SPD_1840,n,n,N-N
SPD_1845,SPD_1840,n,n,N-N
SPD_1846,SPD_1840,n,n,N-N
SPD_1835,SPD_1836,n,n,N-N
SP_2008,rpmG-2,n,n,N-N
spr0488,spr1818,n,n,N-N
spr1925,spr1818,n,n,N-N
SPD_1801,SPD_1800,n,n,N-N
SPD_1784,SPD_1783,n,n,N-N
SPD_1789,SPD_1788,n,n,N-N
SPD_1789,rnmV,n,y,N-E
SPD_1788,rnmV,n,y,N-E
SPD_1843,araD,n,n,N-N
SPD_1847,araD,n,n,N-N
SPD_1844,araD,n,n,N-N
SPD_1845,araD,n,n,N-N
SPD_1846,araD,n,n,N-N
SPD_1840,araD,n,n,N-N
SPD_1767,SPD_1765,n,n,N-N
SPD_1786,SPD_1785,n,n,N-N
SPD_1784,SPD_1785,n,n,N-N
SPD_1783,SPD_1785,n,n,N-N
SPD_1951,SPD_1952,n,n,N-N
SPD_1786,SPD_1952,n,n,N-N
SPD_1875,SPD_1876,n,n,N-N
spr1743,spr1742,n,n,N-N
spr1740,spr1742,n,n,N-N
spr1741,spr1742,n,n,N-N
SPD_1727,SPD_1728,n,n,N-N
SP_1920,SP_1918,n,n,N-N
SP_1920,SP_1919,n,n,N-N
SP_1918,SP_1919,n,n,N-N
SPD_1713,SPD_1712,n,n,N-N
Phosphodiesterase,SPD_1653,n,n,N-N
SPD_1857,SPD_1802,n,n,N-N
SPD_1801,SPD_1802,n,n,N-N
SPD_1800,SPD_1802,n,n,N-N
SPD_1801,SPD_1803,n,n,N-N
SPD_1800,SPD_1803,n,n,N-N
SPD_1802,SPD_1803,n,n,N-N
ScrR,spr1620,n,n,N-N
spr0146,spr1620,n,n,N-N
spr0082,spr1619,n,n,N-N
msmG,spr1619,n,n,N-N
spr1532,spr1619,n,n,N-N
spr1525,spr1619,n,n,N-N
msmK,spr1619,n,n,N-N
sacA,spr1619,n,n,N-N
spr1620,spr1619,n,n,N-N
spr1533,spr1618,n,n,N-N
msmK,spr1618,n,n,N-N
msmF,spr1618,n,n,N-N
spr1526,spr1618,n,n,N-N
sacA,spr1618,n,n,N-N
spr1620,spr1618,n,n,N-N
spr1619,spr1618,n,n,N-N
SPD_1585,SPD_1586,n,n,N-N
SPD_1565,SPD_1566,n,n,N-N
spr1601,spr1600,n,n,N-N
SP_1864,SP_1774,n,n,N-N
SP_1775,SP_1774,n,n,N-N
spr1591,spr1595,n,n,N-N
CorA,spr1595,n,n,N-N
spr1594,spr1595,n,n,N-N
SPD_1562,SPD_1561,n,n,N-N
SPD_1555,SPD_1558,n,y,N-E
SPD_1555,SPD_1556,n,n,N-N
SPD_1558,SPD_1556,y,n,E-N
SPD_1556,tmcAL,n,n,N-N
SPD_1553,tmcAL,n,n,N-N
SPD_1541,SPD_1540,n,n,N-N
fucU,fucI,y,n,E-N
SPD_1525,SPD_1524,n,n,N-N
hexA,ArgR,n,n,N-N
SPD_1524,SPD_1526,n,n,N-N
